t	U	P	msd	sigmaxy	f2tdu2
3.97	0.138501	0.305868	1.06484	6.91197	5.29015
3.98	0.149631	0.306091	1.05601	5.6083	9.62403
3.99	0.13988	0.30592	1.065	4.89558	3.03943
4	0.139574	0.305915	1.07387	4.90979	6.12087
4.01	0.166806	0.3064	1.06182	4.32421	28.1123
4.02	0.165054	0.306444	1.05707	1.09063	13.0611
4.03	0.161991	0.306367	1.06312	4.62507	12.0286
4.04	0.164663	0.306417	1.06969	3.54204	12.2819
4.05	0.169616	0.306486	1.07122	0.420762	19.7251
4.06	0.158638	0.306288	1.08181	4.75648	11.6818
4.07	0.182092	0.306721	1.0952	-1.94282	27.449
4.08	0.167733	0.306492	1.09031	6.39472	11.5026
4.09	0.159286	0.306292	1.09432	-3.47023	15.736
4.1	0.148924	0.306049	1.10241	-4.17894	24.3264
4.11	0.13102	0.305754	1.10641	-0.0290458	0.171462
4.12	0.143548	0.306	1.11317	0.00660773	5.11842
4.13	0.140282	0.305944	1.11576	1.69834	2.74365
4.14	0.1477	0.306103	1.11472	4.14694	4.54382
4.15	0.174183	0.30663	1.13248	4.35154	13.1176
4.16	0.157318	0.306251	1.11913	4.40744	11.7167
4.17	0.143482	0.305986	1.11912	1.75091	4.90033
4.18	0.151142	0.306075	1.1037	-4.03639	21.0114
4.19	0.168192	0.306447	1.09922	2.14171	21.8585
4.2	0.18772	0.306905	1.1054	2.16375	19.8486
4.21	0.2587	0.308251	1.11694	7.76771	73.1915
4.22	0.252022	0.308158	1.11784	2.55323	55.4172
4.23	0.209651	0.307337	1.11253	5.94786	30.2896
4.24	0.203628	0.307251	1.11526	7.32443	25.7079
4.25	0.254666	0.308187	1.11396	7.09004	79.9501
4.26	0.220109	0.307614	1.10573	4.12312	18.2281
4.27	0.185555	0.306893	1.09893	6.61995	14.4818
4.28	0.168005	0.30655	1.09725	7.40776	9.78952
4.29	0.144862	0.306086	1.08801	3.05168	2.1967
4.3	0.151055	0.306197	1.08553	-0.773489	7.06466
4.31	0.135808	0.30587	1.07555	-1.39947	2.51931
4.32	0.149264	0.306134	1.07484	0.675439	7.13174
4.33	0.156356	0.306241	1.07525	-0.188047	15.1996
4.34	0.145817	0.306075	1.08363	0.352708	2.93246
4.35	0.122936	0.305578	1.08107	-0.367425	-0.635233
4.36	0.127183	0.305676	1.08002	0.732082	-0.649739
